Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,LU1JGU-V,146.040000,+,0.600000,Tone,173.8,88.5,023,NN,NFM,5.00,,,,,,
1,LU1JGU-U,438.600000,-,5.000000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
2,LU1JT-V,146.130000,+,0.600000,Tone,123.0,88.5,023,NN,NFM,5.00,,,,,,
3,LU1JVY-V,146.280000,+,0.600000,Tone,131.8,88.5,023,NN,NFM,5.00,,,,,,
4,LU2JP-V,144.865000,+,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
5,LU2JP-V,146.325000,+,0.600000,Tone,94.8,88.5,023,NN,NFM,5.00,,,,,,
6,LU2JP-V,147.750000,-,0.600000,Tone,110.9,88.5,023,NN,NFM,5.00,,,,,,
7,LU2JS-V,147.840000,-,0.600000,Tone,141.3,88.5,023,NN,NFM,5.00,,,,,,
8,LU2JS-U,439.550000,-,5.000000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
9,LU2JS-V,146.145000,+,0.600000,Tone,103.5,88.5,023,NN,NFM,5.00,,,,,,
10,LU5JTF-V,146.055000,+,0.600000,Tone,100.0,88.5,023,NN,NFM,5.00,,,,,,
11,LU5JU-V,147.945000,-,0.600000,Tone,88.5,88.5,023,NN,NFM,5.00,,,,,,
12,LU9JMG-V,146.295000,+,0.600000,Tone,218.1,88.5,023,NN,NFM,5.00,,,,,,
13,LUAJJ-V,147.630000,-,0.600000,Tone,82.5,88.5,023,NN,NFM,5.00,,,,,,
